Taxonomy,Fold donor enrichment,Fold final enrichment,Donor median abundance,Initial ASD median abundance,Final ASD median abundance,"t (two-tailed, one-sample)",p-value,FDR p-value
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Gemmiger,1.7346340331924748,5.482364737290117,0.00596480134893,0.0034386511706749998,0.01885193992195,4.519485669962689,0.0004071813880069705,0.0583265703271521
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae,inf,inf,2.10287252387e-05,0.0,0.000142986472918,4.222679964878838,0.0007383110167993936,0.0583265703271521
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Oxalobacter,inf,inf,0.0,0.0,0.0001166222738922,3.8633492976453514,0.001531600184325452,0.0806642763744738
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__,9.422002519751912,3.338674086303196,0.00700097688049,0.0007430455326045,0.0024807868646500005,3.3144016813881083,0.004717512763834118,0.18634175417144766
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,26.54064355504239,147.6037390133312,0.00118031404784,4.447194527865e-05,0.0065642254043250005,3.2028523179182606,0.005929121708953516,0.1873602460029311
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae,1.1641121133865204,3.405657375351655,0.00278974158183,0.00239645438764,0.00816150255996,2.8581716759640874,0.011966975591167377,0.20822602727986628
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,5.7134876310906355,7.031165850585185,0.0187778139585,0.00328657646099,0.02310846417785,2.8104489382000484,0.013178862486067486,0.20822602727986628
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales,1.1641121133865204,3.405657375351655,0.00278974158183,0.00239645438764,0.00816150255996,2.8590538211462784,0.011945629461725758,0.20822602727986628
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__,5.7134876310906355,7.031165850585185,0.0187778139585,0.00328657646099,0.02310846417785,2.8104489382000484,0.013178862486067486,0.20822602727986628
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,1.1641121133865204,3.405657375351655,0.00278974158183,0.00239645438764,0.00816150255996,2.885368557850595,0.011325675765210702,0.20822602727986628
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;Other;Other,inf,inf,0.000651890482399,0.0,9.18036599123e-05,2.546240287521847,0.022364015798321996,0.22465552414036996
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia,0.0,4.102498544406756,0.0,4.885064535775e-05,0.00020040970147350003,2.6415516874914062,0.01850096829747347,0.22465552414036996
k__Bacteria;p__Bacteroidetes;c__Bacteroidia,0.3444183172540418,0.8258425977227494,0.210111589663,0.610047663371,0.503803347053,-2.4805377294261732,0.025464607783787313,0.22465552414036996
k__Bacteria;p__Bacteroidetes,0.3444957988730187,0.8261389166373414,0.21019316105500002,0.6101472405255001,0.504066380277,-2.4779715096210677,0.025593667307130755,0.22465552414036996
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales,0.3444183172540418,0.8258425977227494,0.210111589663,0.610047663371,0.503803347053,-2.4805377294261732,0.025464607783787313,0.22465552414036996
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,0.05801152497847927,0.5148695244125971,0.00200803212851,0.0346143654947,0.0178218819001,-2.5802891459898345,0.02090266034748027,0.22465552414036996
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerofilum,inf,inf,0.0,0.0,4.708022948875e-05,2.4976834221341986,0.02461809807931069,0.22465552414036996
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;Other,inf,inf,0.000651890482399,0.0,9.18036599123e-05,2.546240287521847,0.022364015798321996,0.22465552414036996
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32,inf,inf,0.000358309621667,0.0,0.0009313874447980001,2.188637449621126,0.044857100438436166,0.25842916125576987
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides,0.4982884403422778,2.4487580015780113,0.00976880494953,0.019604719192,0.0480072129901,2.2727677746283037,0.03817869369449785,0.25842916125576987
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella,0.0,0.6646058239031062,0.0,6.42910586999e-05,4.272821203685e-05,-2.351675351139756,0.032771262158935825,0.25842916125576987
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7,inf,inf,0.00303509326589,0.0,0.00137053567281,2.1592737732229033,0.047433200483653966,0.25842916125576987
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae,inf,inf,0.000505135544704,0.0,6.353986621915e-05,2.3721099744030703,0.031493321483147915,0.25842916125576987
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae,0.4944177587796273,2.4297361626575857,0.00976880494953,0.01975819997575,0.0480072129901,2.2748099596958955,0.03802877168182081,0.25842916125576987
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__,inf,inf,0.00303509326589,0.0,0.00137053567281,2.1592737732229033,0.047433200483653966,0.25842916125576987
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Pseudobutyrivibrio,2.539567101195191,0.0,0.000126462219412,4.979676235075e-05,0.0,-2.1686939608642986,0.04659219000463398,0.25842916125576987
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,30.27286508340617,57.27431103498053,0.000505305709955,1.6691704223e-05,0.000956005859372,2.171660884900484,0.046330185204389994,0.25842916125576987
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__,inf,inf,0.000358309621667,0.0,0.0009313874447980001,2.188637449621126,0.044857100438436166,0.25842916125576987
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__;g__,inf,inf,0.000358309621667,0.0,0.0009313874447980001,2.188637449621126,0.044857100438436166,0.25842916125576987
k__Bacteria;p__Actinobacteria,2.885728590313938,3.028147004007148,0.0106860575403,0.00370307089037,0.011213443022299999,2.0657019027057273,0.05658237541558921,0.2883875908278418
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Ruminococcus,0.0,0.0,0.0,0.000225700535894,0.0,-2.0827055571767223,0.05480771088479792,0.2883875908278418
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales,3.7829868745725963,3.6491901402683955,0.0102645168089,0.00271333661713,0.009901481230459998,1.9558932050512912,0.06936594039183998,0.29421599657746245
k__Bacteria;p__Firmicutes;Other;Other;Other,1.034182920363638,1.988396902660594,0.000147539255981,0.000142662630639,0.000283669932888,1.90347107275982,0.07634718898529089,0.29421599657746245
k__Bacteria;p__Actinobacteria;c__Actinobacteria,3.667230345231021,3.567433588078709,0.0102645168089,0.00279898338599,0.009985187343655,1.9528609154548957,0.06975348979453248,0.29421599657746245
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella,0.5228439381849386,0.0,4.59368827231e-05,8.78596448542e-05,0.0,-1.9057267529549358,0.07603423612150666,0.29421599657746245
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes,1.276736899486911,2.108220102491739,0.0005427113860850001,0.0004250769178075,0.0008961557032270001,1.9710908111363266,0.06745276765854333,0.29421599657746245
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,3.7829868745725963,3.6409118401090304,0.0102645168089,0.00271333661713,0.00987901941551,1.955975359858431,0.06935546753833696,0.29421599657746245
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,3.7829868745725963,3.6491901402683955,0.0102645168089,0.00271333661713,0.009901481230459998,1.9558932050512912,0.06936594039183998,0.29421599657746245
k__Bacteria;p__Firmicutes;Other;Other;Other;Other,1.034182920363638,1.988396902660594,0.000147539255981,0.000142662630639,0.000283669932888,1.90347107275982,0.07634718898529089,0.29421599657746245
k__Bacteria;p__Firmicutes;Other;Other,1.034182920363638,1.988396902660594,0.000147539255981,0.000142662630639,0.000283669932888,1.90347107275982,0.07634718898529089,0.29421599657746245
k__Bacteria;p__Firmicutes;Other,1.034182920363638,1.988396902660594,0.000147539255981,0.000142662630639,0.000283669932888,1.90347107275982,0.07634718898529089,0.29421599657746245
